type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang,
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,94,14823,
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,75,10608,
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,62,592,
ZONASI,ZONA 4,ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,93,11074,
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,62,6919,
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,63,4656,
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,63,5744,
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,64,5383,
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,47,7144,
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,48,5296,
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,37,2371,
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,95,19988,
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,79,12923,
REGULER,RUTE 3,GANDARIA - H E K - TMII,93,1554,
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,51,12155,
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,77,1539,
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,124,21842,
REGULER,RUTE 6,PS.MINGGU - MAMPANG PRAPATAN - KEBAYORAN PTIK,83,12965,
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,89,24274,
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,74,10264,
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,34,5173,
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,62,10147,
REGULER,RUTE 11,BLOK.M - CILEDUK,65,1066,
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,86,22663,
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,92,13933,
REGULER,RUTE 14,BLOK. M - PONDOK LABU,77,14579,
REGULER,RUTE 15,TEBET - PONDOK KOPI,63,9706,
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,45,10177,
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,47,8764,
REGULER,RUTE 18,TEBET - MAMPANG PRAPATAN - RAGUNAN,32,3524,
REGULER,RUTE 19,MANGGARAI - MAMPANG PRAPATAN- PS MINGGU,31,3087,
