type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,100,20358
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,84,16302
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,67,11416
ZONASI,ZONA 4,ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,102,18655
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,68,12332
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,66,6407
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,68,10153
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,67,751
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,50,11794
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,51,6803
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,34,4969
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,94,25549
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,80,18334
REGULER,RUTE 3,GANDARIA - H E K - TMII,95,27055
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,63,1943
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,79,2266
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,128,36009
REGULER,RUTE 6,PS.MINGGU - MAMPANG PRAPATAN - KEBAYORAN PTIK,80,18192
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,101,32202
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,82,17519
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,49,8607
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,67,14152
REGULER,RUTE 11,BLOK.M - CILEDUK,79,16593
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,101,30234
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,102,2049
REGULER,RUTE 14,BLOK. M - PONDOK LABU,85,1646
REGULER,RUTE 15,TEBET - PONDOK KOPI,67,14341
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,34,11595
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,51,16694
REGULER,RUTE 18,TEBET - MAMPANG PRAPATAN - RAGUNAN,34,4753
REGULER,RUTE 19,MANGGARAI - MAMPANG PRAPATAN- PS MINGGU,34,5344
