type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang,ritase
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,88,14626,2925
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,73,10897,2179
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,59,559,1118
ZONASI,ZONA 4, ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,83,934,1868
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,57,686,1372
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,49,4766,953
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,54,584,1168
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,53,5613,1123
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,43,5736,1147
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,44,5041,1008
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,31,3508,702
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,85,20815,4163
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,89,13558,2712
REGULER,RUTE 3,GANDARIA - H E K - TMII,85,16664,3333
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,46,11193,2239
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,72,16754,3351
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,113,21802,436
REGULER,RUTE 6,PS.MINGGU - BUNCIT - KEBAYORAN PTIK,66,11286,2257
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,79,23346,4669
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,83,12386,2477
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,30,5328,1066
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,47,9338,1868
REGULER,RUTE 11,BLOK.M - CILEDUK,64,10502,21
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,83,21511,4302
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,85,1255,251
REGULER,RUTE 14,BLOK. M - PONDOK LABU,60,10989,2198
REGULER,RUTE 15,TEBET - PONDOK KOPI,57,10535,2107
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,43,9849,197
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,44,968,1936
