yitemrevenue,xcartadd,xcartuniqadd,xcartaddtotalrs,xcartremove,xcardtremovetotal,xcardtremovetotalrs,xproductviews,xuniqprodview,xprodviewinrs
39215.93,614,503,752186,10,10,11990,24306,20498,299
23819.47,833,622,425667,8,5,3992,11171,8718,571
4415.45,122,101,121878,2,2,1998,6926,6017,6919074
57435.56,239,196,609761,2,2,4998,11250,9733,2834
0,32,22,58488,0,0,0,872,764,1745628
9181.9,79,56,63121,2,1,1598,1587,1232,1281213
4135.44,23,22,35857,0,0,0,1075,842,1685285
8906.24,82,54,104078,4,3,5036,1214,848,1554466
12722.89,79,68,95521,0,0,0,1214,904,1474786
0,6,6,19770,0,0,0,636,514,2081844
9545.37,16,13,64784,0,0,0,951,741,3470649
1166.32,12,10,16708,0,0,0,731,581,990589
3153.93,21,16,24969,5,1,5945,964,795,1149396
2907.67,13,13,19447,0,0,0,747,625,2362203
0,3,2,4497,0,0,0,334,241,505166
2756.96,19,13,30661,6,3,9354,1115,875,1759085
1378.48,44,30,70676,1,1,1559,900,697,1414540
0,23,17,46377,0,0,0,868,729,1965632
463.47,15,13,8085,0,0,0,1478,1331,776497
0,17,14,49215,0,0,0,543,437,1553025
6185.36,23,19,40977,0,0,0,904,746,1591596
0,16,10,15984,2,2,1998,475,375,474525
0,16,13,43184,4,3,10796,557,406,1677943
587.85,4,2,2660,0,0,0,662,546,440230
0,16,14,28784,2,2,3598,962,749,1750638
7947.81,27,17,26973,0,0,0,1352,1029,1393848
0,6,6,11970,8,2,15960,1079,889,2149617
0,25,23,16225,5,3,3245,963,820,624987
2280.13,3,2,12897,0,0,0,779,653,2046881
0,5,3,5395,0,0,0,904,727,1005836
4452.77,72,55,91188,3,2,3777,3335,2722,4229545
1413.48,15,9,22185,0,0,0,540,402,858660
2226.38,2,1,2518,0,0,0,795,632,1010625
2545.33,8,8,23032,0,0,0,861,737,2517219
7316.16,40,28,55160,4,3,5516,908,658,1254904
6186.6,13,11,46987,3,2,10497,817,650,2879683
2650.16,11,8,16489,0,0,0,734,569,1098266
4949.04,15,15,41985,0,0,0,604,530,1703796
0,7,7,12893,0,0,0,446,372,939604
688.98,36,30,28044,6,3,4674,819,633,648921
1166.32,0,0,0,0,0,0,921,763,1224479
0,0,0,0,0,0,0,665,550,794765
0,13,10,12987,2,1,1998,504,416,503496
0,0,0,0,0,0,0,778,640,927592
14317.26,27,18,78273,0,0,0,790,638,2161010
22272.53,0,0,0,0,0,0,808,627,2943992
0,18,12,15102,0,0,0,359,298,301761
358.02,87,71,11880,5,1,675,667,488,92880
1345.88,65,37,14105,4,4,868,780,518,171658
0,14,12,44086,0,0,0,385,250,1217315
0,10,7,9990,0,0,0,1105,929,1103895
1235.08,38,29,13712,0,0,0,790,657,279460
2430.94,20,13,27500,0,0,0,682,549,937374
0,11,8,30745,2,1,5590,766,576,2131990
3526.45,18,12,73512,3,3,11967,605,482,2437285
0,14,11,58786,0,0,0,589,467,2494811
441.1,46,24,22954,4,2,1996,775,592,386725
0,28,22,112772,2,1,7198,766,612,2819234
0,5,2,12975,0,0,0,415,314,1065753
0,11,10,31989,0,0,0,465,308,1339535
0,23,19,66377,0,0,0,494,336,1369106
0,6,5,13794,6,5,13794,684,588,1560816
4949.04,8,6,22392,0,0,0,824,713,2347176
0,13,12,3497,2,1,1078,347,256,95503
1766.18,50,35,50750,0,0,0,1037,792,1079963
0,6,6,17370,0,0,0,420,340,1200732
0,23,11,51713,0,0,0,435,349,1196069
0,2,2,4598,2,2,4598,876,773,1999624
1113.19,8,5,10072,0,0,0,553,434,699467
0,18,14,28962,0,0,0,752,605,1216178
135,41,31,5670,0,0,0,513,361,73035
1457.24,14,11,8236,0,0,0,592,474,333608
0,9,8,18891,3,2,6297,654,552,1381746
493.26,46,36,12834,0,0,0,607,465,169353
1498.34,0,0,0,0,0,0,375,291,632841
0,11,8,19789,0,0,0,664,530,1198936
0,4,4,9836,0,0,0,677,553,1677863
1235.08,15,12,5235,2,2,698,543,425,191907
5300.32,11,9,15989,0,0,0,641,493,957859
14052.6,3,2,9537,0,0,0,1051,884,3368689
3977.46,20,15,53980,0,0,0,359,225,1037341
0,20,15,35980,4,2,7196,859,685,1562541
3527.08,34,27,66834,2,1,3990,822,617,1636902
1390.41,43,29,23657,5,1,2620,666,527,352534
2651.4,0,0,0,0,0,0,691,562,2088309
5302.1,10,9,29990,0,0,0,560,445,1661440
3463.96,14,11,28266,0,0,0,817,686,1612263
3087.71,51,40,25449,3,1,1497,1028,774,512972
4771.89,7,6,12593,0,0,0,816,625,1476384
574.59,40,29,26000,3,1,1950,659,496,428350
0,0,0,0,0,0,0,730,622,2333870
0,7,5,11193,0,0,0,766,691,1224834
